Source,Target,Weight,Type
Ajar_GrosCalin.1974,Ajar_LangoisseDuRoiSalomon.1979,1,undirected
Ajar_GrosCalin.1974,Ajar_LaVieDevantSoi.1975,1,undirected
Ajar_GrosCalin.1974,Ajar_Pseudo.1976,6,undirected
Ajar_GrosCalin.1974,Gary_Au-DelàDeCetteLimite.1975,2,undirected
Ajar_LangoisseDuRoiSalomon.1979,Ajar_GrosCalin.1974,1,undirected
Ajar_LangoisseDuRoiSalomon.1979,Ajar_LaVieDevantSoi.1975,6,undirected
Ajar_LangoisseDuRoiSalomon.1979,Ajar_Pseudo.1976,2,undirected
Ajar_LangoisseDuRoiSalomon.1979,Gary_Au-DelàDeCetteLimite.1975,2,undirected
Ajar_LaVieDevantSoi.1975,Ajar_GrosCalin.1974,1,undirected
Ajar_LaVieDevantSoi.1975,Ajar_LangoisseDuRoiSalomon.1979,6,undirected
Ajar_LaVieDevantSoi.1975,Ajar_Pseudo.1976,2,undirected
Ajar_Pseudo.1976,Ajar_GrosCalin.1974,6,undirected
Ajar_Pseudo.1976,Ajar_LangoisseDuRoiSalomon.1979,2,undirected
Ajar_Pseudo.1976,Ajar_LaVieDevantSoi.1975,2,undirected
Ajar_Pseudo.1976,Gary_Au-DelàDeCetteLimite.1975,4,undirected
Bogat_LesTêtesDeStphanie.1974,Gary_LeGrandVestiaire.1949,2,undirected
Bogat_LesTêtesDeStphanie.1974,Gary_LesClownsLyriques.1979,4,undirected
Bogat_LesTêtesDeStphanie.1974,Gary_LesEnchanteurs.1973,3,undirected
Bogat_LesTêtesDeStphanie.1974,Gary_LesRacinesDuCiel.1956,5,undirected
Bogat_LesTêtesDeStphanie.1974,Sinibaldi_LHommeLaColombe.1958,3,undirected
Gary_Au-DelàDeCetteLimite.1975,Ajar_GrosCalin.1974,2,undirected
Gary_Au-DelàDeCetteLimite.1975,Ajar_LangoisseDuRoiSalomon.1979,2,undirected
Gary_Au-DelàDeCetteLimite.1975,Ajar_Pseudo.1976,4,undirected
Gary_Au-DelàDeCetteLimite.1975,Gary_LaPromesseDlAube.1960,2,undirected
Gary_Au-DelàDeCetteLimite.1975,Gary_LeGrandVestiaire.1949,1,undirected
Gary_Au-DelàDeCetteLimite.1975,Gary_LesClownsLyriques.1979,4,undirected
Gary_LaPromesseDlAube.1960,Gary_Au-DelàDeCetteLimite.1975,2,undirected
Gary_LaPromesseDlAube.1960,Gary_LesEnchanteurs.1973,6,undirected
Gary_LaPromesseDlAube.1960,Gary_LesRacinesDuCiel.1956,3,undirected
Gary_LeGrandVestiaire.1949,Bogat_LesTêtesDeStphanie.1974,2,undirected
Gary_LeGrandVestiaire.1949,Gary_Au-DelàDeCetteLimite.1975,1,undirected
Gary_LeGrandVestiaire.1949,Gary_LesClownsLyriques.1979,3,undirected
Gary_LesClownsLyriques.1979,Bogat_LesTêtesDeStphanie.1974,4,undirected
Gary_LesClownsLyriques.1979,Gary_Au-DelàDeCetteLimite.1975,4,undirected
Gary_LesClownsLyriques.1979,Gary_LeGrandVestiaire.1949,3,undirected
Gary_LesClownsLyriques.1979,Gary_LesRacinesDuCiel.1956,6,undirected
Gary_LesClownsLyriques.1979,Sinibaldi_LHommeLaColombe.1958,2,undirected
Gary_LesEnchanteurs.1973,Bogat_LesTêtesDeStphanie.1974,3,undirected
Gary_LesEnchanteurs.1973,Gary_LaPromesseDlAube.1960,6,undirected
Gary_LesEnchanteurs.1973,Gary_LesRacinesDuCiel.1956,1,undirected
Gary_LesRacinesDuCiel.1956,Bogat_LesTêtesDeStphanie.1974,5,undirected
Gary_LesRacinesDuCiel.1956,Gary_LaPromesseDlAube.1960,3,undirected
Gary_LesRacinesDuCiel.1956,Gary_LesClownsLyriques.1979,6,undirected
Gary_LesRacinesDuCiel.1956,Gary_LesEnchanteurs.1973,1,undirected
Gary_LesRacinesDuCiel.1956,Sinibaldi_LHommeLaColombe.1958,1,undirected
Sinibaldi_LHommeLaColombe.1958,Bogat_LesTêtesDeStphanie.1974,3,undirected
Sinibaldi_LHommeLaColombe.1958,Gary_LesClownsLyriques.1979,2,undirected
Sinibaldi_LHommeLaColombe.1958,Gary_LesRacinesDuCiel.1956,1,undirected
